in_game_menu_desc,BUY items from Market Tab.#Check Quests from Quests Tab.#Save or Quit game from Menu Tab.,"Market Sekmesinden ihtiyaçlarınızı satın alabilir,#Görevler Sekmesinden tüm görevlere bakabilir,#Menü Sekmesinden oyunu kayıt edebilir veya ana menüye dönebilirsiniz.",Kaufe Gegenstände bei der Ladenleiste.#Siehe Aufgaben bei der Aufgabenleiste.#Speicher oder verlasse das Spiel im Menü.,ПОКУПАЙТЕ предметы на вкладке Рынок.#Проверяйте задания на вкладке Задания.#Сохраняйте игру или выходите из нее на вкладке Меню.,CompreR elementos del Tablero de Mercado.#Ver objetivos en el Tablero de Objetivos.#Guardar o Salir del juego en el Tablero de Menú.,COMPRE itens pela Aba do Mercado.#Consulte as Tarefas na Aba de Tarefas.#Salve ou Saia do jogo na Aba do Menu.,ACQUISTA oggetti dal Mercato.#Controlla le Missioni dalla Lista delle Missioni.#Salva o Esci dal gioco dal Menu.,ACHETEZ des objets depuis l'Interface du Marché.#Regardez les Quêtes depuis l'Interface des Quêtes.#Sauvegardez ou Quittez le jeu depuis l'interface du Menu.,KUPUJ przedmioty poprzez Sklep.#Sprawdź zadania poprzez Okno Zadań.#Zapisz lub Wyjdź z gry poprzez Okno Menu.,从商场里买需要的东西。#从任务表里查看任务。#从菜单里保存或突出游戏。,從商場裏買需要的東西。#從任務表裏查看任務。#從菜單裏保存或突出遊戲。,,
market_tab,Market Tab,Market Sekmesi,Laden Leiste,Вкладка Рынок,Tablero de Mercado,Aba do Mercado,Mercato,Interface du Marché,Okno Sklepu,商场,商場,,
market_tab_name,MARKET,MARKET,LADEN,РЫНОК,MERCADO,MERCADO,MERCATO,MARCHÉ,SKLEP,商场,商場,,
market_tab_desc,"Click to open the Market Tab.#You can BUY your needs here.#Also, you can read their details while hovering over them before you buy.","Market Sekmesini açmak için tıklayın.#İhtiyaçlarınızı burada satın alabilirsiniz.#Ayrıca, satın almadan önce üzerine gelerek açıklamalarını okuyabilirsiniz.",Klicke um die Ladenleiste zu öffnen.#Du kannst hier alle nötigen Produkte kaufen. #Und du kannst deren Details lesen wenn du deine drauf hältst.,"Нажмите, чтобы открыть вкладку Рынок.#Здесь вы можете приобретать товары, которые вам нужны.#Перед покупкой вы можете ознакомиться с подробностями, наведя курсор на них.",Haga clic para abrir el Tablero de Mercado.#Puede Comprar sus necesidades aquí.#Y puede leer sus detalles mientras pasa el mouse sobre ellos antes de Comprar.,Clique para abrir a Aba do Mercado.#Você pode COMPRAR o que precisa aqui.#Você pode ler os detalhes das mercadorias ao posicionar o mouse sobre elas antes de comprar.,"Clicca per aprire l'Interfaccia del Mercaro.#Puoi anche ACQUISTARE quello di cui hai bisogno qui.#Inoltre, puoi anche leggere i dettagli degli oggeti prima di comprarli passandoci sopra con il mouse.",Cliquez pour ouvrir l'Interface du Marché.#Vous pouvez ACHETER ce qu'il vout faut ici.#Et vous pouvez lire les détails en plaçant le curseur au dessus avant d'acheter.,"Wciśnij, żeby otworzyć Okno Sklepu.#Możesz tutaj KUPOWAĆ potrzebne rzeczy.#Możesz także sprawdzić opisy przedmiotów zanim je kupisz, poprzez najeżdzanie na nie myszą.",点击打开商场。#您可以从这里买需要的东西，#也可以用鼠标看你要的物品查看更多的信息。,點擊打開商場。#您可以從這裏買需要的東西，#也可以用鼠標看你要的物品查看更多的信息。,,
quests_tab,Quests Tab,Görevler Sekmesi,Aufgaben Leiste,Вкладка Задания,Tablero de Objetivos,Aba de Tarefas,Lista Missioni,Interface des Quêtes,Lista zadań.,任务,任務,,
quests_tab_name,QUESTS,GÖREVLER,AUFGABEN,ЗАДАНИЯ,OBJETIVOS,TAREFAS,MISSIONI,QUÊTES,ZADANIA,任务表,任務表,,
quests_tab_desc,Click to open Quests Tab. You can see your all quests here.,Görevler Sekmesini açmak için tıklayın. Burada tüm görevlerinizi görebilirsiniz.,Klicke um die Aufgabenleiste zu öffnen. Du kannst hier alle deine Aufgaben sehen.,"Нажмите, чтобы открыть вкладку Задания. Здесь вы можете просмотреть все свои задания.",Haga clic para abrir el Tablero de Objetivos. Puede ver todos sus objetivos aquí.,Clique para abrir a Aba de Tarefas. Você pode ver todas as suas tarefas aqui.,Clicca per aprire la Lista delle Missioni. Puoi vedere tutte le tue missioni qui.,Cliquez pour ouvrir l'Interface des Quêtes. Vous pouvez voir toutes vos quêtes ici.,"Wciśnij, żeby otworzyć listę zadań. Możesz tutaj sprawdzić swoje wszystkie zadania.",点击打开任务表。你可以在这里看你所有的任务。,點擊打開任務表。你可以在這裏看你所有的任務。,,
menu_tab,Menu Tab,Menü Sekmesi,Menü Leiste,Вкладка Меню,Tablero de Menú,Aba do Menu,Interfaccia Menu,Interface du Menu,Okno Menu,游戏菜单,遊戲菜單,,
menu_tab_name,GAME MENU,OYUN MENÜSÜ,SPIELMENÜ,ИГРОВОЕ МЕНЮ,MENÚ DE JUEGO,MENU DE JOGO,MENU DEL GIOCO,MENU DU JEU,MENU GRY,游戏菜单,遊戲菜單,,
menu_tab_desc,Click to open Menu Tab.,Menü Sekmesini açmak için tıklayın.,Klicke um das Menü zu öffnen.,"Нажмите, чтобы открыть Вкладку Меню.",Haga clic para abrir el Tablero de Menú.,Clique para abrir a Aba do Menu.,Clicca per aprire il Menu.,Cliquez pour ouvrir l'Interface du Menu,"Wciśnij, żeby otworzyć Okno Menu.",点击打开游戏菜单。,點擊打開遊戲菜單。,,
scrollbar_bg,Scrollbar,Kaydırma Çubuğu,Scrollleiste ,Полоса Прокрутки,Barra de Desplazamiento,Barra de rolagem,Barra di Scorrimento,Barre de défilement,Suwak,滚动条,滾動條,,
scrollbar_bg_desc,Just move the white thumb to scroll item list. Or you can use your [[Mouse Wheel] while hovering over market items.,Listeyi kaydırmak için beyaz çubuğu hareket ettirin.#Veya [[Fare Tekerleği]'ni kullanın. ,"Bewegen Sie einfach den Mauszeiger einfach zur Scrolleiste . Sie können auch Ihr [[Mausrad]] benutzen, während Sie den Mauszeiger über die Marktartikel bewegen.","Просто проведите большим пальцем по списку товаров, чтобы прокрутить его. Или вы можете использовать [[Колесико Мыши], наведя курсор на товары на рынке.",Solo mueva el pulgar blanco para desplazar la lista de elementos. O puede usar su [[Rueda de Mouse] mientras pasa el mouse sobre elementos del mercado.,Mova o botão deslizante para navegar pela lista de itens. Ou você pode usar a [[Roda do Mouse] sobre os itens.,Muovi is cursore bianco per far scorrere la lista di oggetti. Oppure usa la tua [[Rotella del Mouse] passando sopra gli oggetti.,Déplacez la barre blanche pour faire défiler la liste d'objets. Ou vous pouvez utiliser votre [[Molette] tant que le curseur est au dessus de la liste.,"Wystarczy, że ruszysz suwakiem, żeby przeglądać listę przedmiotów. Możesz także użyć [[Kółka myszy] jeśli twój kursor znajduje się nad listą przedmiotów.",点击并拖动滚动条或者用鼠标滚轮即查看全文。,點擊並拖動滾動條或者用鼠標滾輪即查看全文。,,
scrollbar_thumb,Scrollbar Thumb,Kaydırma Başlığı,Mauszeiger,Полоса Прокрутки,Barra de Desplazamiento,Botão deslizante,Cursore di Scorrimento,Barre de défilement,Suwak,滚动条,滾動條,,
scrollbar_thumb_desc,Scroll item list by moving this thumb. Or you can use your [[Mouse Wheel] while hovering over items.,Listeyi bu başlığı oynatarak kaydırabilirsiniz.#Veya [[Fare Tekerleği]'ni kullanın. ,"Blätter in der Artikelliste, indem Sie den Mauszeiger bewegen. Sie können auch Ihr [[Mausrad]] benutzen, während Sie mit dem Mauszeiger über die Elemente fahren.","Прокрутите список элементов, перемещая этот палец. Или вы можете использовать [[Колесико Мыши], наводя курсор на элементы.",Desplace la lista de elementos moviendo este pulgar. O puede usar su [[Rueda de Mouse] mientras pasa el mouse sobre elementos.,Navegue pela lista de itens arrastando esse botão. Ou você pode usar a [[Roda do Mouse] sobre os itens.,Fai scorrere la lista di oggetti muovendo questo cursore. Oppure puoi usare la tua [[Rotella del Mouse] passando il mouse sopra gli oggetti.,Faites défiler la liste d'objets en déplaçant cette barre. Ou vous pouvez utiliser votre [[Molette] tant que le curseur est au dessus de la liste.,Przeglądaj listę przedmiotów poprzez ruszanie suwakiem. Możesz także użyć [[Kółka myszy] jeśli twój kursor znajduje się nad listą przedmiotów.,点击并拖动滚动条或者用鼠标滚轮即查看全文。,點擊並拖動滾動條或者用鼠標滾輪即查看全文。,,
quest_value,QUEST,GÖREV,AUFGABE,ЗАДАНИЕ,OBJETIVO,TAREFAS,MISSIONE,QUÊTE,ZADANIE,任务,任務,,
quest_completed_value,QUEST COMPLETED,GÖREV TAMAMLANDI,AUFGABE ABGESCHLOSSEN,ЗАДАНИЕ ВЫПОЛНЕНО,OBJETIVO COMPLETO,TAREFAS CONCLUÍDAS,MISSIONE COMPLETATA,QUÊTE COMPLETÉE,ZADANIE WYPEŁNIONE,任务完成！,任務完成！,,
cannot_be_sold,Cannot be sold.,Satılamaz.,Kann nicht verkauft werden.,Не может быть продано.,No se puede vender.,Não pode ser vendido.,Non può essere venduto.,Ne peux pas être vendu.e.,Nie możesz tego sprzedać.,这个物品不能卖掉。,這個物品不能賣掉。,,
last_one_cannot_sold,The last one cannot be sold!,Sonuncusu satılamaz!,Das letzte kann nicht verkauft werden!,Последний предмет не может быть продан!,El último no se puede vender!,O último não pode ser vendido!,L'ultima non può essere venduta!,Vous ne pouvez pas vendre le dernier exemplaire!,Nie możesz sprzedać swojej ostatniej budowli!,最后一个物品不能卖掉！,最後一個物品不能賣掉！,,
cannot_butcher,Cannot butcher last 2 Sheepies!,Son 2 Koyun kesilemez!,Du kannst deine 2 letzten Schäfchen nicht schlachten!,Нельзя разделать двух последних Овечек!,No puede sacrificar las últimas 2 Ovejitas!,Não pode abater as ultimas duas Ovelhinhas!,Non puoi macellare le ultime 2 Pecorelle!,Vous ne pouvez pas abattre vos deux derniers Moutons!,Nie możesz zarżnąć dwóch ostatnich owiec!,最后两个 小羊不能被除掉！,最後兩個 小羊不能被除掉！,,
not_available,Not available yet!,Henüz mevcut değil!,Aktuell nicht verfügbar!,Пока недоступно!,No disponible aún!,Indisponível no momento!,Non ancora disponibile!,Pas encore disponible!,Jeszcze nie odblokowano!,还没有解锁！,還沒有解鎖！,,
no_gold,Not enough Gold!,Yeterli Altın yok!,Nicht genügend Gold!,Не хватает Золота!,Oro insuficiente!,Sem Ouro suficiente!,Non abbastanza Oro!,Pas assez d'Or!,Niewystarczająca ilość złota!,不够财富！,不夠財富！,,
no_wheat,No Wheat!,Buğday yok!,Kein Weizen vorhanden!,Нет Пшеницы!,Trigo insuficiente!,Sem Trigo!,Niente Grano!,Pas de Blé!,Brak pszenicy!,没有小麦！,沒有小麥！,,
no_capacity,No Capacity,Kapasite Yok,Keine Kapazität,Не хватает Ёмкости,Insuficiente Capacidad,Sem Capacidade,Linite Raggiunto!,Pas de place,Przekroczono limit,没有存货！,沒有存貨！,,
no_resource_capacity,Not enough Resource Capacity!,Yeterli Kaynak Kapasitesi yok!,Nicht genug Ressourcenkapazität frei!,Не хватает Ёмкости Ресурсов!,Insuficiente Capacidad de Recursos!,Capacidade de Recursos cheia!,Limite di Risorse raggiunto!,Limite de Ressources atteinte!,Brak miejsca na zasoby!,您的物资存货空间不足！,您的物資存貨空間不足！,,
no_resource_capacity_desc,Free a Resource Capacity to get your resource.,Kaynağı almak için Kaynak Kapasitenizde yer açın.,Mach Ressourcen Kapazität frei um deine Ware zu bekommen.,"Освободите Ёмкость Ресурсов, чтобы получить свой ресурс.",Libera una Capacidad de Recursos para obtener tu recurso.,Libere um Espaço de Recursos para receber o recurso.,Libera il Limite di Risorse per ottenere questa risorsa.,Libérez une Place de Ressources pour obtenir cette Ressource.,Zwolnij miejsce na zasoby.,空出一点物资存货空间得到你的物资。,空出一點物資存貨空間得到你的物資。,,
no_structure_capacity,Not enough Structure Capacity!,Yeterli Yapı Kapasitesi yok!,Nicht genug Strukturkapazität!,Не хватает Ёмкости Построек!,No tienes Capacidad de Estructuras!,Capacidade de Estruturas cheia!,Limite di Strutture raggiunto!,Limite de Structures atteinte!,Przekroczono limit budowli.,您的建筑存货空间不足！,您的建築存貨空間不足！,,
no_structure_capacity_desc,Free a Structure Capacity to get your structure.,Yapıyı almak için Yapı Kapasitenizde yer açın.,Mach eine Strukturkapazität frei um eine weitere Struktur zu platzieren.,"Освободите Ёмкость Построек, чтобы получить новую постройку.",Libera una Capacidad de Estructuras para obtener tu estructura.,Libere um Espaço de Estruturas para receber a estrutura.,Libera il Limite di Strutture per ottenere questa struttura.,Libérez une Place de Structures pour obtenir cette Structure.,Zwolnij miejsce na budowlę.,空出一点建筑存货空间得到你的建筑。,空出一點建築存貨空間得到你的建築。,,
sell_area,Drag here to sell items,Satmak için buraya sürükleyin,Hierher ziehen um zu verkaufen,"Перетащи сюда, чтобы продать",Arrastre aquí para vender elementos,Arraste itens aqui para vender,Trascina qui i tuoi oggetti per venderli,Glissez des objets ici pour les vendre,"Przeciągnij tutaj, żeby sprzedać rzeczy",把物品拖放到这卖掉。,拖到這裏即可賣掉物品。,,
sell_area_desc,(You can also use [[Ctrl] to sell),([[Ctrl] tuşu ile de satabilirsiniz),(Du kannst auch [[STRG] benutzen um zu verkaufen),(Вы также можете использовать [[Ctrl] для продажи),(También puede usar [[Ctrl] para vender),(Você também pode usar [[Ctrl] para vender),(Puoi usare anche [[Ctrl] per vendere),(Vous pouvez aussi utiliser [[Ctrl] pour vendre),(Sprzedawać możesz także przytrzymując [[Ctrl]),（也可以按住[[Ctrl]键进入销售模式。）,（你也可以按住[[Ctrl]鍵進入銷售模式。）,,
need_prompt,The Need Balloon,İhtiyaç Balonu,Der bedürfniss-Ballon,Используйте Подсказку,El Globo de Necesidades,Necessidade,La Vignetta dei Bisogni,Astuce,Dymek z Potrzebą,小羊的需求,小羊的需求,,
need_sleep,Your Sheepy is sleeping.,Koyununuz uyuyor.,Dein Schäfchen schläft.,Ваши Овечки спят.,Su Ovejita está durmiendo.,Sua Ovelhinha está dormindo.,La tua Pecorella sta dormendo.,Votre Mouton dort.,Twoja owieczka śpi.,小羊在睡觉。,小羊在睡覺。,,
need_wheat,Your Sheepy Needs:#- Wheat,Koyununuzun İhtiyacı:#- Buğday,Dein Schäfchen braucht:#- Weizen,Вашей Овце нужна:#- Пшеница,Su Ovejita necesita:#- Trigo,Sua Ovelhinha precisa de:#-Trigo,La tua Pecorella ha Bisogno di:#- Grano,Votre Mouton à besoin de:#- Blé,Twoja owieczka potrzebuje:#- Pszenicy,小羊需要：#- 小麦,小羊需要：#- 小麥,,
need_water,Your Sheepy Needs:#- Water Bucket,Koyununuzun İhtiyacı:#- Su Kovası,Dein Schäfchen braucht:#- Wassereimer,Вашей Овце нужна:#- Ведро Воды,Su Ovejita necesita:#- Balde de Agua,Sua Ovelhinha precisa de:#-Balde d'água,La tua Pecorella ha Bisogno di:#- Secchio d'Acqua,Votre Mouton à besoin de:#- Seau d'eau,Twoja owieczka potrzebuje:#- Wiaderka z wodą,小羊需要：#- 水桶,小羊需要：#- 水桶,,
need_milk,Your Sheepy Needs:#- Raw Milk,Koyununuzun İhtiyacı:#- Çiğ Süt,Dein Schäfchen braucht:#- Rohe Milch,Вашей Овце нужна:#- Бутылка с Молоком,Su Ovejita necesita:#- Leche,Sua Ovelhinha precisa de:#-Leite,La tua Pecorella ha Bisogno di:#- Latte Crudo,Votre Mouton à besoin de:#- Lait Cru,Twoja owieczka potrzebuje:#- Świeżego mleka,小羊需要：#- 生羊奶,小羊需要：#- 生羊奶,,
